t,sat,gss
2084,1,SVA
2085,1,SVA
2086,1,SVA
2087,1,SVA
2088,1,SVA
2089,1,SVA
2090,1,SVA
2091,1,SVA
2092,1,SVA
2093,1,SVA
2094,1,SVA
2095,1,SVA
2096,1,SVA
2097,1,SVA
2098,1,SVA
2099,1,SVA
2100,1,SVA
2101,1,SVA
2102,1,SVA
2103,1,SVA
2104,1,SVA
2105,1,SVA
2106,1,SVA
2107,1,SVA
2108,1,SVA
2109,1,SVA
2110,1,SVA
2111,1,SVA
2112,1,SVA
2113,1,SVA
2114,1,SVA
2115,1,SVA
2116,1,SVA
2117,1,SVA
2118,1,SVA
2119,1,SVA
2120,1,SVA
2121,1,SVA
2122,1,SVA
2123,1,SVA
2124,1,SVA
2125,1,SVA
2126,1,SVA
2127,1,SVA
2128,1,SVA
2129,1,SVA
2130,1,SVA
2131,1,SVA
2132,1,SVA
2133,1,SVA
2134,1,SVA
2135,1,SVA
2136,1,SVA
2137,1,SVA
2138,1,SVA
2139,1,SVA
2140,1,SVA
2141,1,SVA
2142,1,SVA
2143,1,SVA
2144,1,SVA
2145,1,SVA
2146,1,SVA
2147,1,SVA
2148,1,SVA
2149,1,SVA
2150,1,SVA
2151,1,SVA
2152,1,SVA
2153,1,SVA
2154,1,SVA
2155,1,SVA
2156,1,SVA
2157,1,SVA
2158,1,SVA
2159,1,SVA
2160,1,SVA
2161,1,SVA
2162,1,SVA
2163,1,SVA
2164,1,SVA
2165,1,SVA
2166,1,SVA
2167,1,SVA
2168,1,SVA
2169,1,SVA
2170,1,SVA
2171,1,SVA
2172,1,SVA
2173,1,SVA
2174,1,SVA
2175,1,SVA
2176,1,SVA
2177,1,SVA
2178,1,SVA
2179,1,SVA
2180,1,SVA
2181,1,SVA
2182,1,SVA
2183,1,SVA
2184,1,SVA
2185,1,SVA
2186,1,SVA
2187,1,SVA
2188,1,SVA
2189,1,SVA
2190,1,SVA
2191,1,SVA
2192,1,SVA
2193,1,SVA
2194,1,SVA
2195,1,SVA
2196,1,SVA
2197,1,SVA
2198,1,SVA
2199,1,SVA
2200,1,SVA
2201,1,SVA
2202,1,SVA
2203,1,SVA
2204,1,SVA
2205,1,SVA
2206,1,SVA
2207,1,SVA
2208,1,SVA
2209,1,SVA
2210,1,SVA
2211,1,SVA
2212,1,SVA
2213,1,SVA
2214,1,SVA
2215,1,SVA
2216,1,SVA
2217,1,SVA
2218,1,SVA
2219,1,SVA
2220,1,SVA
2221,1,SVA
2222,1,SVA
